image_path,Adventure,Fantasy,Historical,Isekai,Mystery,Romance,School,SF,sports,Supernatural
./images/Adventure/1001_892.jpg,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/100nin no Eiyuu wo Sodateta Saikyou Yogensha wa Boukensha ni Nattemo Sekaijuu no Deshi kara Shitawaretemasu comic_767.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/12 Beast_737.jpg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/29sai Dokushin Chuuken Boukensha no Nichijou_395.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/29sai Dokushin wa Isekai de Jiyuu ni Ikitakatta_163.jpg,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/3x3 Eyes_715.jpg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
./images/Adventure/4 Cut Hero_767.jpg,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
./images/Adventure/666 Satan_947.jpg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
./images/Adventure/7 Seeds_753.jpg,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
./images/Adventure/A Fairytale for the Demon Lord_745.jpg,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
./images/Adventure/Abide in the Wind_112.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Absolute Witch_474.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Adabana_341.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Aflame Inferno_853.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/AikiS_853.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Akaboshi Ibun Suikoden_241.jpg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Akatsuki no Yona_939.jpg,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
./images/Adventure/Akazukin Eliza_714.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Alive Saishuu Shinkateki Shounen_386.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
./images/Adventure/Almadianos Eiyuuden_721.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Alma_674.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
./images/Adventure/Anagle Mole_123.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
./images/Adventure/Ansatsusha de Aru Ore no Status ga Yuusha yori mo Akiraka ni Tsuyoi no da ga_974.jpg,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Ao no Rhapsodia_395.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Aoki Umi no Toraware Hime_390.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Appare Jipangu_304.jpg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Aragane no Ko_867.jpg,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/ARank Boukensha no Slow Life_734.jpg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/ARank Party wo Ridatsu shita Ore wa Moto Oshiegotachi to Meikyuu Shinbu wo Mezasu_492.jpg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
